Sequencia,Unidade Curricular,Carga horária (h/a)
1,LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA 1,60
2,LÍNGUA ESTRANGEIRA MODERNA-ESPANHOL 1,40
3,LÍNGUA ESTRANGEIRA MODERNA-INGLÊS 1,40
4,EDUCAÇÃO FÍSICA 1,40
5,GEOGRAFIA 1,40
6,FILOSOFIA 1,20
7,SOCIOLOGIA 1,20
8,MATEMÁTICA 1,80
9,ARTE,40
10,FÍSICA 1,60
11,QUÍMICA 1,40
12,INFORMÁTICA APLICADA,40
13,FUNDAMENTOS DE LÓGICA E PROGRAMAÇÃO DE COMPUTADORES 1,80
14,LINGUAGEM DE APRESENTAÇÃO E ESTRUTURAÇÃO DE CONTEÚDOS 1,40
15,LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA 2,80
16,LÍNGUA ESTRANGEIRA MODERNA – INGLÊS 2,40
17,LÍNGUA ESTRANGEIRA MODERNA – ESPANHOL 2,40
18,EDUCAÇÃO FÍSICA 2,40
19,GEOGRAFIA 2,40
20,FILOSOFIA 2,20
21,SOCIOLOGIA 2,20
22,MATEMÁTICA 2,60
23,FÍSICA 2,60
24,QUÍMICA 2,40
25,INGLÊS TÉCNICO,40
26,ADMINISTRAÇÃO E ESTRUTURA EM ORGANIZAÇÕES,40
27,COMUNICAÇÃO TÉCNICA,40
28,FUNDAMENTOS DE LÓGICA E PROGRAMAÇÃO DE COMPUTADORES 2,80
29,CONCEITOS DE ARTES APLICADOS A FOTOGRAFIA E IMAGENS,80
30,LINGUAGEM DE APRESENTAÇÃO E ESTRUTURAÇÃO DE CONTEÚDOS 2,40
31,PROJETO E DESIGN WEB,40
32,INTRODUÇÃO A ARQUITETURA DE COMPUTADORES,40
33,Conceitos de IHC Aplicados a Páginas WEB,40
34,LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA 3,60
35,LÍNGUA ESTRANGEIRA MODERNA - INGLÊS 3,40
36,LÍNGUA ESTRANGEIRA MODERNA – ESPANHOL 3,40
37,EDUCAÇÃO FÍSICA 3,40
38,HISTÓRIA 1,40
39,GEOGRAFIA 3,40
40,SOCIOLOGIA 3,20
41,FILOSOFIA 3,20
42,MATEMÁTICA 3,60
43,FÍSICA 3,60
44,BIOLOGIA 1,40
45,ANÁLISE E PROJETO ORIENTADO A OBJETOS 1,60
46,BANCO DE DADOS,80
47,PROGRAMAÇÃO ORIENTADA A OBJETOS,80
48,PROGRAMAÇÃO PARA INTERNET,40
49,LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA 4,60
50,LÍNGUA ESTRANGEIRA MODERNA – INGLÊS 4,40
51,LÍNGUA ESTRANGEIRA MODERNA – ESPANHOL 4,40
52,EDUCAÇÃO FÍSICA 4,40
53,HISTÓRIA 2,40
54,GEOGRAFIA 4,40
55,FILOSOFIA 4,20
56,SOCIOLOGIA 4,20
57,MATEMÁTICA 4,60
58,FÍSICA 4,60
59,QUÍMICA 4,40
60,BIOLOGIA 2,40
61,ESTATÍSTICA,40
62,METODOLOGIA CIENTÍFICA I,40
63,EMPREENDEDORISMO,40
64,INTRODUÇÃO A SISTEMAS OPERACIONAIS,40
65,ANÁLISE E PROJETO ORIENTADO A OBJETOS 2,60
66,SEGURANÇA DA INFORMAÇÃO NA WEB,40
67,INTRODUÇÃO A REDES DE COMPUTADORES,60
68,DESENVOLVIMENTO WEB,60
69,EDUCAÇÃO FÍSICA 5,40
70,FILOSOFIA 5,20
71,HISTÓRIA 3,40
72,SOCIOLOGIA 5,20
73,MATEMÁTICA 5,60
74,FÍSICA 5,60
75,QUÍMICA 5,60
76,BIOLOGIA 3,40
77,METODOLOGIA CIENTÍFICA 2,40
78,DESENVOLVIMENTO DE SITES DE COMÉRCIO ELETRÔNICO,40
79,INSTALAÇÃO E CONFIGURAÇÃO DE SERVIDORES WEB,60
80,DESENVOLVIMENTO WEB BASEADO EM FRAMEWORKS,60
81,LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA 6,60
82,FILOSOFIA 6,20
83,SOCIOLOGIA 6,20
84,HISTÓRIA 4,40
85,FÍSICA 6,60
86,QUÍMICA 6,60
87,MATEMÁTICA 6,60
88,BIOLOGIA 4,40
89,INOVAÇÃO E COMPETITIVIDADE,40
90,MARKETING WEB,40
91,"COMPUTADOR, ÉTICA E SOCIEDADE",40
92,DESENVOLVIMENTO DE APLICATIVOS PARA DISPOSITIVOS MÓVEIS 2,60
